record_id,pmid,doi,title,year,title_abstract_decision,title_abstract_reason,full_text_status,full_text_decision,full_text_exclusion_reason,study_id,study_design,key_outcomes,notes
101,32247160,10.1016/j.jpba.2020.113275,In vitro evaluation of reactive nature of E- and Z-guggulsterones and their metabolites in human liver microsomes using UHPLC-Orbitrap mass spectrometer.,2020,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
102,32674468,10.3390/ijms21144970,Melatonin Induces Melanogenesis in Human SK-MEL-1 Melanoma Cells Involving Glycogen Synthase Kinase-3 and Reactive Oxygen Species.,2020,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
103,33791640,10.1093/asjof/ojaa013,An Alternative Treatment of Pseudogynecomastia in Male Patients After Massive Weight Loss.,2020,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
104,32031661,10.1093/treephys/tpaa004,"A novel NAC transcription factor, MdNAC42, regulates anthocyanin accumulation in red-fleshed apple by interacting with MdMYB10.",2020,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
105,31838251,10.1016/j.gene.2019.144284,Transcriptome analysis reveal the putative genes involved in light-induced anthocyanin accumulation in grape 'Red Globe' (V. vinifera L.).,2019,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
106,31568154,10.1097/MPG.0000000000002498,Photoprotection But Not N-acetylcysteine Improves Intestinal Blood Flow and Oxidation Status in Parenterally Fed Piglets.,2019,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
107,31321852,10.1111/tbj.13427,3D areola dermopigmentation (nipple-areola complex).,2019,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
108,31129510,10.1016/j.jphotobiol.2019.111511,UVA and UVB radiation induce the formation of neutrophil extracellular traps by human polymorphonuclear cells.,2019,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
109,31320973,,The Potential Uses of N-acetylcysteine in Dermatology: A Review.,2019,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
110,30548661,10.1002/jcb.28030,Asperyellone prevents HDF cells from UVB irradiation damages: An elaborated study.,2018,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
111,30956032,10.1016/j.jdermsci.2019.03.005,Effects of irradiance on UVA-induced skin aging.,2019,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
112,30934176,10.5999/aps.2018.00164,The oval technique for nipple-areolar complex reconstruction.,2019,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
113,30245405,10.1016/j.jhazmat.2018.09.036,Bio-inspired ultrasensitive colorimetric detection of methyl isothiocyanate on nylon-6 nanofibrous membrane: A comparison of biological thiol reactivities.,2018,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
114,30488083,10.14573/altex.1808201,Contradictory effects of chemical filters in UV/ROS-stressed human keratinocyte and fibroblast cells.,2018,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
115,30532153,10.1371/journal.pone.0208627,Transcriptomic analysis of Lycium ruthenicum Murr. during fruit ripening provides insight into structural and regulatory genes in the anthocyanin biosynthetic pathway.,2018,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
116,30687625,10.21037/gs.2018.08.04,Inflammatory breast cancer: no longer an absolute contraindication for breast conservation surgery following good response to neoadjuvant therapy.,2018,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
117,30290020,10.1111/exd.13797,Nilotinib induction of melanogenesis via reactive oxygen species-dependent JNK activation in B16F0 mouse melanoma cells.,2018,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
118,30246706,10.4103/ijdvl.IJDVL_33_18,N-acetylcysteine in dermatology.,2018,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
119,30285614,10.1186/s12870-018-1427-x,Genome wide identification and predicted functional analyses of NAC transcription factors in Asian pears.,2018,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
120,30005897,10.1016/j.jdermsci.2018.06.007,Substantial evidence for the rhododendrol-induced generation of hydroxyl radicals that causes melanocyte cytotoxicity and induces chemical leukoderma.,2018,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
121,29613836,10.1096/fj.201701242RR,IL-17 induces cellular stress microenvironment of melanocytes to promote autophagic cell apoptosis in vitiligo.,2018,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
122,29630780,10.1111/exd.13555,4-(4-Hydroxyphenyl)-2-butanol (rhododendrol)-induced melanocyte cytotoxicity is enhanced by UVB exposure through generation of oxidative stress.,2018,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
123,29740511,10.7717/peerj.4625,Candidate genes associated with red colour formation revealed by comparative genomic variant analysis of red- and green-skinned fruits of Japanese apricot (Prunus mume).,2018,exclude,Plant pigment biology; no N-acetylcysteine intervention,,,,,,,Plant pigment biology; no N-acetylcysteine intervention
124,29474693,10.1093/pcp/pcy044,The Use of RNA Sequencing and Correlation Network Analysis to Study Potential Regulators of Crabapple Leaf Color Transformation.,2018,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
125,29395579,10.1016/j.jdermsci.2018.01.004,Trans-cinnamic acid attenuates UVA-induced photoaging through inhibition of AP-1 activation and induction of Nrf2-mediated antioxidant genes in human skin fibroblasts.,2018,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
126,29101124,10.1136/bjophthalmol-2017-310615,"Ocular manifestations, complications and management of congenital ichthyoses: a new look.",2017,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
127,28993145,10.1016/j.lfs.2017.10.009,An inhibitory mechanism of action of a novel syringic-acid derivative on α-melanocyte-stimulating hormone (α-MSH)-induced melanogenesis.,2017,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
128,28377314,10.1016/j.ijpharm.2017.03.079,Clarithromycin and N-acetylcysteine co-spray-dried powders for pulmonary drug delivery: A focus on drug solubility.,2017,exclude,NAC studied for non-cosmetic indication (toxicology/infection/neuro),,,,,,,NAC studied for non-cosmetic indication (toxicology/infection/neuro)
129,28943881,10.3389/fpls.2017.01552,Differential Sensitivity of Fruit Pigmentation to Ultraviolet Light between Two Peach Cultivars.,2017,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
130,28528167,10.1016/j.jid.2017.04.034,CXCL1 Inhibition Regulates UVB-Induced Skin Inflammation and Tumorigenesis in Xpa-Deficient Mice.,2017,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
131,28689798,10.1016/j.jep.2017.07.004,Ethyl acetate extract from Panax ginseng C.A. Meyer and its main constituents inhibit α-melanocyte-stimulating hormone-induced melanogenesis by suppressing oxidative stress in B16 mouse melanoma cells.,2017,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
132,28487970,10.3892/mmr.2017.6532,MALAT1 participates in ultraviolet B-induced photo-aging via regulation of the ERK/MAPK signaling pathway.,2017,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
133,28299721,10.1007/s13346-017-0374-7,Pro-NP™ protect against TiO2 nanoparticle-induced phototoxicity in zebrafish model: exploring potential application for skin care.,2017,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
134,28402525,10.1093/femsle/fnx073,Antifungal mechanism of [RuIII(NH3)4catechol]+ complex on fluconazole-resistant Candida tropicalis.,2017,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
135,28211872,10.1038/cdd.2017.8,Rictor/mTORC2 deficiency enhances keratinocyte stress tolerance via mitohormesis.,2017,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
136,28219012,10.1021/acs.chemrestox.7b00006,"Tyrosinase-Catalyzed Oxidation of the Leukoderma-Inducing Agent Raspberry Ketone Produces (E)-4-(3-Oxo-1-butenyl)-1,2-benzoquinone: Implications for Melanocyte Toxicity.",2017,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
137,28337898,,Melanin of the nipple areola complex.,2017,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
138,28035181,10.5607/en.2016.25.6.307,Functional Connectivity of Basolateral Amygdala Neurons Carrying Orexin Receptors and Melanin-concentrating Hormone Receptors in Regulating Sociability and Mood-related Behaviors.,2016,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
139,27579857,10.1111/acer.13181,Melanin-Concentrating Hormone and Its MCH-1 Receptor: Relationship Between Effects on Alcohol and Caloric Intake.,2016,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
140,27363851,10.1007/s13555-016-0128-3,Basal Cell Carcinoma of the Nipple-Areola Complex: A Comprehensive Review of the World Literature.,2016,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
141,26833778,10.1111/hdi.12402,Acquired reactive perforating collagenosis and pseudoporphyric bullous dermatosis in a hemodialysis patient.,2016,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
142,26867644,10.1016/j.tiv.2016.02.003,Rhododenol and raspberry ketone impair the normal proliferation of melanocytes through reactive oxygen species-dependent activation of GADD45.,2016,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
143,27011171,10.3390/ijms17030418,Melanocytes Affect Nodal Expression and Signaling in Melanoma Cells: A Lesson from Pediatric Large Congenital Melanocytic Nevi.,2016,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
144,26596215,10.1016/j.jdermsci.2015.10.019,Analysis of lncRNAs expression in UVB-induced stress responses of melanocytes.,2015,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
145,26059754,10.1016/j.molimm.2015.05.019,Lipoteichoic acid isolated from Lactobacillus plantarum down-regulates UV-induced MMP-1 expression and up-regulates type I procollagen through the inhibition of reactive oxygen species generation.,2015,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
146,25946676,,Dialysis-associated pseudoporphyria successfully treated with vitamin D. Report of two cases.,2015,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
147,25688923,10.1111/tpj.12792,Molecular genetics of blood-fleshed peach reveals activation of anthocyanin biosynthesis by NAC transcription factors.,2015,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
148,25662478,10.3109/2000656X.2015.1008501,Thinning of the medial pedicle in reduction mammoplasty.,2015,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
149,25376115,10.1111/jcmm.12345,HDAC-inhibitor (S)-8 disrupts HDAC6-PP1 complex prompting A375 melanoma cell growth arrest and apoptosis.,2014,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
150,25491370,10.1186/s12870-014-0351-y,Overexpression of tomato SlNAC1 transcription factor alters fruit pigmentation and softening.,2014,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
151,24726294,10.1016/j.burns.2014.01.027,Effect of N-acetylcysteine combined with infliximab on toxic epidermal necrolysis. A proof-of-concept study.,2014,exclude,NAC studied for non-cosmetic indication (toxicology/infection/neuro),,,,,,,NAC studied for non-cosmetic indication (toxicology/infection/neuro)
152,25028117,10.1007/s00266-014-0380-9,Role of antioxidants in dermal aging: an in vitro study by q-RT-PCR.,2014,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
153,25014590,10.1094/MPMI-03-14-0065-R,"OsNAC111, a blast disease-responsive transcription factor in rice, positively regulates the expression of defense-related genes.",2014,exclude,"NAC = plant NAC transcription factor family, not N-acetylcysteine",,,,,,,"NAC = plant NAC transcription factor family, not N-acetylcysteine"
154,24902916,10.1007/s00266-014-0343-1,The free-nipple breast-reduction technique performed with transfer of the nipple-areola complex over the superior or superomedial pedicles.,2014,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
155,24550076,10.1007/s11357-014-9623-6,Oxidative exposure impairs TGF-β pathway via reduction of type II receptor and SMAD3 in human skin fibroblasts.,2014,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
156,24284420,10.1038/jid.2013.510,FoxO3a is an antimelanogenic factor that mediates antioxidant-induced depigmentation.,2013,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
157,24456128,10.1111/1754-9485.12136,Breast irradiation causes pallor in the nipple-areolar complex in women with Celtic skin type (result from the St. George and Wollongong randomised breast boost trial).,2014,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
158,24681574,10.1371/journal.pone.0093232,Interferon-γ induces senescence in normal human melanocytes.,2014,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
159,25083492,10.3978/j.issn.2227-684X.2014.02.06,Nipple-areola complex reconstruction.,2014,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
160,24126281,10.1016/j.peptides.2013.10.001,Endogenous opiates and behavior: 2012.,2013,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
161,24001791,10.1016/j.jdermsci.2013.07.015,Solar-simulated radiation and heat treatment induced metalloproteinase-1 expression in cultured dermal fibroblasts via distinct pathways: implications on reduction of sun-associated aging.,2013,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
162,23449013,10.1017/S1461145713000072,Role of melanin-concentrating hormone in the nucleus accumbens shell in rats behaviourally sensitized to methamphetamine.,2013,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
163,23337889,10.1038/jid.2013.25,Prolonged activation of ERK contributes to the photorejuvenation effect in photodynamic therapy in human dermal fibroblasts.,2013,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
164,24327958,10.1016/j.molmet.2013.07.008,Loss of neurotensin receptor-1 disrupts the control of the mesolimbic dopamine system by leptin and promotes hedonic feeding and obesity.,2013,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
165,23866879,10.1016/j.jaad.2013.05.002,"Toxic epidermal necrolysis: Part II. Prognosis, sequelae, diagnosis, differential diagnosis, prevention, and treatment.",2013,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
166,23441982,10.2174/157488612805076516,Toxic epidermal necrolysis.,2012,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
167,23046028,10.1111/j.1529-8019.2012.01484.x,Clinical efficacy of a novel topical formulation for vitiligo: compared evaluation of different treatment modalities in 149 patients.,2012,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
168,22118157,10.1111/j.1751-1097.2011.01050.x,Silibinin is a potent sensitizer of UVA radiation-induced oxidative stress and apoptosis in human keratinocyte HaCaT cells.,2012,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
169,22430217,10.1016/j.ejpb.2012.03.002,In vivo photoprotective and anti-inflammatory effect of hyperforin is associated with high antioxidant activity in vitro and ex vivo.,2012,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
170,21667118,10.1007/s00403-011-1158-4,Ascorbic acid increases the activity and synthesis of tyrosinase in B16F10 cells through activation of p38 mitogen-activated protein kinase.,2011,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
171,21281711,10.1016/j.freeradbiomed.2011.01.027,"UVB-induced DNA damage, generation of reactive oxygen species, and inflammation are effectively attenuated by the flavonoid luteolin in vitro and in vivo.",2011,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
172,20670637,10.1016/j.physbeh.2010.07.009,Role of melanin-concentrating hormone in the control of ethanol consumption: Region-specific effects revealed by expression and injection studies.,2010,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
173,20946361,10.1111/j.1751-1097.2010.00818.x,Proteomic identification of cathepsin B and nucleophosmin as novel UVA-targets in human skin fibroblasts.,2010,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
174,20721849,10.1055/s-0030-1263290,Surgical correction and reconstruction of the nipple-areola complex: current review of techniques.,2010,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
175,20601653,10.1093/rheumatology/keq175,Evaluation of anti-oxidant treatments in an in vitro model of alkaptonuric ochronosis.,2010,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
176,20459460,10.1111/j.1600-079X.2010.00765.x,Melatonin decreases cell proliferation and induces melanogenesis in human melanoma SK-MEL-1 cells.,2010,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
177,20595944,,[Efficacy study in vitro: assessment of the properties of resveratrol and resveratrol + N-acetyl-cysteine on proliferation and inhibition of collagen activity].,2010,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
178,21358860,10.4172/plastic-surgery.1000643,Pedicle viability as the determinant factor for conversion to free nipple graft.,2010,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
179,20158284,10.2165/11532540-000000000-00000,"New insights in toxic epidermal necrolysis (Lyell's syndrome): clinical considerations, pathobiology and targeted treatments revisited.",2010,exclude,NAC studied for non-cosmetic indication (toxicology/infection/neuro),,,,,,,NAC studied for non-cosmetic indication (toxicology/infection/neuro)
180,19737600,10.1016/j.neulet.2009.08.082,Glutathione redox status in mitochondria and cytoplasm differentially and sequentially activates apoptosis cascade in dopamine-melanin-treated SH-SY5Y cells.,2009,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
181,19602945,10.1097/SAP.0b013e31818d45c2,Reduction mammoplasty with superolateral dermoglandular pedicle: details of 15 years of experience.,2009,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
182,18562160,10.1016/j.bbi.2008.05.001,How does immune challenge inhibit ingestion of palatable food? Evidence that systemic lipopolysaccharide treatment modulates key nodal points of feeding neurocircuitry.,2008,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
183,18538675,10.1016/j.freeradbiomed.2008.05.006,Small molecular antioxidants effectively protect from PUVA-induced oxidative stress responses underlying fibroblast senescence and photoaging.,2008,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
184,18064629,10.1002/jcp.21336,All-trans retinoic acid attenuates ultraviolet radiation-induced down-regulation of aquaporin-3 and water permeability in human keratinocytes.,2008,include,NAC + skin pigmentation/aging relevant,retrieved,include,,,,,
185,17487501,10.1007/s00411-007-0112-5,Inhibition of UVA-induced apoptotic signaling pathway by polypeptide from Chlamys farreri in human HaCaT keratinocytes.,2007,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
186,17550954,10.1345/aph.1H700,Management of anthracycline extravasation injuries.,2007,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
187,17596443,10.1523/JNEUROSCI.0514-07.2007,Striatal medium spiny neurons terminate in a distinct region in the lateral hypothalamic area and do not directly innervate orexin/hypocretin- or melanin-concentrating hormone-containing neurons.,2007,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
188,17187831,10.1016/j.physbeh.2006.11.006,Rapid neuroendocrine responses evoked at the onset of social challenge.,2006,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
189,18654637,10.2174/157015906778520773,Neurochemistry of the nucleus accumbens and its relevance to depression and antidepressant action in rodents.,2006,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
190,17671531,,Expanding the role of breast conservation surgery by immediate volume replacement with the latissimus dorsi flap.,2006,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
191,16799053,10.1167/iovs.05-1066,Damage Thresholds for Exposure to NIR and Blue Lasers in an In Vitro RPE Cell System.,2006,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
192,16632120,10.1016/j.freeradbiomed.2005.12.032,Grape seed proanthocyanidins inhibit UV-radiation-induced oxidative stress and activation of MAPK and NF-kappaB signaling in human epidermal keratinocytes.,2006,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
193,16388826,10.1016/j.lfs.2005.09.054,"Biological activities of the natural imidazole-containing peptidomimetics n-acetylcarnosine, carcinine and L-carnosine in ophthalmic and skin care products.",2006,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
194,16261402,10.1007/s10549-005-9033-7,Nipple-sparing mastectomy in association with intra operative radiotherapy (ELIOT): A new type of mastectomy for breast cancer treatment.,2005,exclude,"NAC = nipple-areola complex, not N-acetylcysteine",,,,,,,"NAC = nipple-areola complex, not N-acetylcysteine"
195,16282322,10.1074/jbc.M505806200,A novel o-aminophenol oxidase responsible for formation of the phenoxazinone chromophore of grixazone.,2005,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
196,16108071,10.1002/jnr.20595,Iron accelerates the conversion of dopamine-oxidized intermediates into melanin and provides protection in SH-SY5Y cells.,2005,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
197,16109412,10.1016/j.febslet.2005.07.049,Inhibitory role of peroxiredoxin II (Prx II) on cellular senescence.,2005,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
198,15673672,10.1523/JNEUROSCI.4079-04.2005,Mesolimbic dopamine super-sensitivity in melanin-concentrating hormone-1 receptor-deficient mice.,2005,exclude,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine",,,,,,,"NAC/NAc = nucleus accumbens or melanin-concentrating hormone context, not N-acetylcysteine"
199,15541075,10.1111/j.1365-2133.2004.06213.x,Topically applied S-nitrosothiol-containing hydrogels as experimental and pharmacological nitric oxide donors in human skin.,2004,exclude,NAC present but outcome not skin pigmentation/whitening/anti-aging,,,,,,,NAC present but outcome not skin pigmentation/whitening/anti-aging
200,15363971,10.1016/j.ejphar.2004.07.065,"Inhibition of UVA irradiation-modulated signaling pathways by rutaecarpine, a quinazolinocarboline alkaloid, in human keratinocytes.",2004,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
201,15630239,10.1002/biof.552210182,"Effect of simultaneous administration of vitamin C, L-cysteine and vitamin E on the melanogenesis.",2004,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
202,14646624,10.1097/00008390-200312000-00010,Synthesis and selective in vitro anti-melanoma effect of enantiomeric alpha-methyl- and alpha-ethyl-4-S-cysteaminylphenol.,2003,exclude,Study of other intervention/pathway; N-acetylcysteine not the intervention,,,,,,,Study of other intervention/pathway; N-acetylcysteine not the intervention
